scheme_code,isin_growth,isin_div_reinv,scheme_name
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option
118282,INF760K01FI1,,CANARA ROBECO INCOME FUND - DIRECT PLAN - GROWTH OPTION
118284,INF760K01EC7,,CANARA ROBECO DYNAMIC BOND FUND - DIRECT PLAN - GROWTH OPTION
118291,INF760K01ET1,,CANARA ROBECO SAVINGS FUND - DIRECT PLAN - GROWTH OPTION
118299,INF760K01FC4,,CANARA ROBECO GILT FUND - DIRECT PLAN - GROWTH OPTION
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION
118320,INF760K01DX5,,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION
118364,INF194K01I60,,BANDHAN LIQUID Fund -Direct Plan-Growth
118371,INF194K01J77,,BANDHAN Low Duration Fund-Direct Plan-Growth
118384,INF194K01M80,,Bandhan Money Market Fund -Direct Plan-Growth
118387,INF194K01P38,,Bandhan Gilt Fund with 10 year constant duration Fund - Direct Plan - Growth
118394,INF194K01R51,,Bandhan Medium to Long Duration Fund - Direct Plan - Growth
118401,INF194K01S50,,Bandhan Medium Duration Fund - Direct Plan - Growth
118407,INF194K01U07,,Bandhan Short Duration Fund - Direct Plan - Growth
118416,INF194K01N63,,BANDHAN Dynamic Bond Fund-Direct Plan-Growth
118464,INF194K01Q29,,Bandhan Gilt Fund - Direct Plan - Growth
118495,INF090I01HB8,,Franklin India Dynamic Accrual Fund - Direct - Growth
118498,INF090I01HS2,,Franklin India Government Securities Fund - Direct - Growth
118506,INF090I01GV8,,Franklin India Money Market Fund - Direct - Growth
118508,INF090I01LK1,,Franklin India Floating Rate Fund - Direct - Growth
118530,INF090I01HG7,,Franklin India Low Duration Fund - Direct - Growth
118553,INF090I01JL3,,Franklin India Credit Risk Fund - Direct - Growth
118554,INF090I01JI9,,Franklin India Income Opportunities Fund - Direct - Growth
118565,INF090I01GK1,,Franklin India SHORT TERM INCOME PLAN - Direct - GROWTH
118569,INF090I01FW8,,Franklin India Corporate Debt Fund - Direct - GROWTH
118577,INF090I01JV2,,Franklin India Liquid Fund - Super Institutional - Direct - Growth
